Product_Code,Purchased
60050435,24
6161107792107,31
6008104000432,6
6161100602267,36
6007497100798,1
6002854000124,10
6009642450208,43
6009880918096,33
6009606000616,25
6001024999787,10
6001052010171,38
6007421000095,3
6009522300098,8
6001565009037,1
6001068586806,3
6009880593095,32
6009001015802,5
6001087005800,1
6001085120946,20
6001067066613,46
6001374051258,12
6009700135092,31
6001298070052,36
6001106224370,15
6001106102951,47
6005088000472,30
6001509500026,23
6001016400000,42
6001374041921,13
6001206413728,38
600130601550,42
5050083485039,27
6001275003653,45
6003977000190,45
6001156905106,5
6009698811435,18
2000,29
60050435,34
6161107792107,43
6008104000432,41
6161100602267,15
6007497100798,6
6002854000124,21
6009642450208,11
6009880918096,15
6009606000616,22
6001024999787,25
6001052010171,22
6007421000095,6
6009522300098,32
6001565009037,27
6001068586806,19
6009880593095,19
6009001015802,43
6001087005800,44
6001085120946,44
6001067066613,21
6001374051258,5
6009700135092,36
6001298070052,1
6001106224370,33
6001106102951,21
6005088000472,37
6001509500026,37
6001016400000,37
6001374041921,45
6001206413728,34
600130601550,40
5050083485039,7
6001275003653,18
6003977000190,1
6001156905106,39
6009698811435,45
2000,39
60050435,14
6161107792107,10
6008104000432,3
6161100602267,10
6007497100798,4
6002854000124,10
6009642450208,6
6009880918096,14
6009606000616,29
6001024999787,9
6001052010171,25
6007421000095,0
6009522300098,40
6001565009037,4
6001068586806,4
6009880593095,37
6009001015802,24
6001087005800,47
6001085120946,46
6001067066613,3
6001374051258,19
6009700135092,47
6001298070052,43
6001106224370,46
6001106102951,33
6005088000472,7
6001509500026,4
6001016400000,37
6001374041921,21
6001206413728,34
600130601550,29
5050083485039,16
6001275003653,29
6003977000190,8
6001156905106,38
6009698811435,39
2000,15
60050435,40
6161107792107,14
6008104000432,45
6161100602267,33
6007497100798,4
6002854000124,25
6009642450208,6
6009880918096,21
6009606000616,5
6001024999787,14
6001052010171,20
6007421000095,43
6009522300098,7
6001565009037,41
6001068586806,29
6009880593095,19
6009001015802,17
6001087005800,35
6001085120946,1
6001067066613,41
6001374051258,30
6009700135092,10
6001298070052,42
6001106224370,16
6001106102951,14
6005088000472,33
6001509500026,35
6001016400000,12
6001374041921,0
6001206413728,21
600130601550,38
5050083485039,7
6001275003653,8
6003977000190,3
6001156905106,46
6009698811435,38
2000,14
60050435,23
6161107792107,31
6008104000432,0
6161100602267,23
6007497100798,22
6002854000124,21
6009642450208,16
6009880918096,6
6009606000616,15
6001024999787,36
6001052010171,17
6007421000095,33
6009522300098,42
6001565009037,19
6001068586806,32
6009880593095,46
6009001015802,40
6001087005800,40
6001085120946,18
6001067066613,38
6001374051258,8
6009700135092,12
6001298070052,39
6001106224370,30
6001106102951,30
6005088000472,35
6001509500026,36
6001016400000,31
6001374041921,37
6001206413728,20
600130601550,31
5050083485039,41
6001275003653,30
6003977000190,22
6001156905106,19
6009698811435,19
2000,20
60050435,10
6161107792107,22
6008104000432,23
6161100602267,8
6007497100798,18
6002854000124,23
6009642450208,26
6009880918096,44
6009606000616,1
6001024999787,40
6001052010171,47
6007421000095,36
6009522300098,15
6001565009037,41
6001068586806,46
6009880593095,32
6009001015802,11
6001087005800,31
6001085120946,19
6001067066613,23
6001374051258,5
6009700135092,21
6001298070052,10
6001106224370,8
6001106102951,11
6005088000472,11
6001509500026,30
6001016400000,47
6001374041921,47
6001206413728,10
600130601550,42
5050083485039,36
6001275003653,14
6003977000190,8
6001156905106,25
6009698811435,1
2000,36
60050435,13
6161107792107,17
6008104000432,23
6161100602267,43
6007497100798,27
6002854000124,27
6009642450208,35
6009880918096,0
6009606000616,33
6001024999787,2
6001052010171,21
6007421000095,13
6009522300098,11
6001565009037,37
6001068586806,8
6009880593095,22
6009001015802,38
6001087005800,21
6001085120946,19
6001067066613,45
6001374051258,14
6009700135092,10
6001298070052,38
6001106224370,22
6001106102951,46
6005088000472,19
6001509500026,39
6001016400000,0
6001374041921,4
6001206413728,5
600130601550,7
5050083485039,17
6001275003653,4
6003977000190,46
6001156905106,35
6009698811435,23
2000,27
60050435,38
6161107792107,1
6008104000432,41
6161100602267,40
6007497100798,28
6002854000124,26
6009642450208,4
6009880918096,27
6009606000616,40
6001024999787,19
6001052010171,47
6007421000095,21
6009522300098,37
6001565009037,24
6001068586806,20
6009880593095,8
6009001015802,24
6001087005800,38
6001085120946,31
6001067066613,10
6001374051258,45
6009700135092,43
6001298070052,43
6001106224370,29
6001106102951,31
6005088000472,35
6001509500026,25
6001016400000,15
6001374041921,42
6001206413728,44
600130601550,12
5050083485039,36
6001275003653,16
6003977000190,10
6001156905106,26
6009698811435,25
2000,17
60050435,22
6161107792107,16
6008104000432,33
6161100602267,35
6007497100798,38
6002854000124,41
6009642450208,0
6009880918096,39
6009606000616,38
6001024999787,23
6001052010171,17
6007421000095,19
6009522300098,31
6001565009037,31
6001068586806,35
6009880593095,40
6009001015802,12
6001087005800,16
6001085120946,32
6001067066613,22
6001374051258,13
6009700135092,47
6001298070052,29
6001106224370,27
6001106102951,14
6005088000472,1
6001509500026,36
6001016400000,17
6001374041921,8
6001206413728,9
600130601550,38
5050083485039,47
6001275003653,34
6003977000190,42
6001156905106,24
6009698811435,19
2000,46
60050435,17
6161107792107,23
6008104000432,27
6161100602267,44
6007497100798,37
6002854000124,38
6009642450208,9
6009880918096,23
6009606000616,43
6001024999787,42
6001052010171,30
6007421000095,30
6009522300098,3
6001565009037,34
6001068586806,11
6009880593095,3
6009001015802,44
6001087005800,12
6001085120946,4
6001067066613,31
6001374051258,13
6009700135092,23
6001298070052,0
6001106224370,22
6001106102951,16
6005088000472,29
6001509500026,5
6001016400000,4
6001374041921,21
6001206413728,47
600130601550,40
5050083485039,28
6001275003653,23
6003977000190,38
6001156905106,8
6009698811435,21
2000,24
60050435,23
6161107792107,16
6008104000432,33
6161100602267,23
6007497100798,25
6002854000124,6
6009642450208,10
6009880918096,9
6009606000616,39
6001024999787,42
6001052010171,23
6007421000095,43
6009522300098,29
6001565009037,33
6001068586806,7
6009880593095,20
6009001015802,22
6001087005800,18
6001085120946,12
6001067066613,45
6001374051258,40
6009700135092,16
6001298070052,41
6001106224370,33
6001106102951,0
6005088000472,44
6001509500026,38
6001016400000,3
6001374041921,16
6001206413728,44
600130601550,13
5050083485039,27
6001275003653,6
6003977000190,13
6001156905106,39
6009698811435,17
2000,9
60050435,18
6161107792107,38
6008104000432,22
6161100602267,10
6007497100798,24
6002854000124,47
6009642450208,26
6009880918096,47
6009606000616,40
6001024999787,31
6001052010171,38
6007421000095,2
6009522300098,45
6001565009037,15
6001068586806,29
6009880593095,38
6009001015802,11
6001087005800,44
6001085120946,31
6001067066613,10
6001374051258,33
6009700135092,28
6001298070052,27
6001106224370,10
6001106102951,29
6005088000472,45
6001509500026,3
6001016400000,43
6001374041921,45
6001206413728,1
600130601550,28
5050083485039,46
6001275003653,31
6003977000190,21
6001156905106,8
6009698811435,12
2000,16
60050435,29
6161107792107,46
6008104000432,42
6161100602267,6
6007497100798,23
6002854000124,21
6009642450208,46
6009880918096,24
6009606000616,7
6001024999787,30
6001052010171,5
6007421000095,13
6009522300098,16
6001565009037,45
6001068586806,7
6009880593095,33
6009001015802,38
6001087005800,43
6001085120946,16
6001067066613,47
6001374051258,18
6009700135092,2
6001298070052,0
6001106224370,41
6001106102951,11
6005088000472,32
6001509500026,44
6001016400000,36
6001374041921,38
6001206413728,43
600130601550,9
5050083485039,45
6001275003653,26
6003977000190,16
6001156905106,34
6009698811435,16
2000,20
60050435,40
6161107792107,1
6008104000432,10
6161100602267,28
6007497100798,2
6002854000124,20
6009642450208,35
6009880918096,18
6009606000616,20
6001024999787,42
6001052010171,15
6007421000095,36
6009522300098,15
6001565009037,6
6001068586806,20
6009880593095,7
6009001015802,29
6001087005800,3
6001085120946,26
6001067066613,36
6001374051258,39
6009700135092,19
6001298070052,39
6001106224370,39
6001106102951,3
6005088000472,46
6001509500026,40
6001016400000,14
6001374041921,33
6001206413728,41
600130601550,17
5050083485039,31
6001275003653,7
6003977000190,22
6001156905106,4
6009698811435,16
2000,7
60050435,43
